
Tenant: Italian Trattoria,,Product Summary Report
,,Report as of 07/22/2026

"Product name","Item count","Category","Available in Recipe","Available in Inventory","Product unit","Last purchased","Cost","Last purchased vendor","Last purchased location"
"Gin, Malfy Lemon (1 Liter)",4,Liquor,false,false,liter,02/18/2026 00:00:00,35,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Liqueur, De Kuyper Elderflower",3,Liquor,false,false,liter,02/18/2026 00:00:00,108,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Vodka, Beluga",4,Liquor,false,false,liter,02/18/2026 00:00:00,315.6,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Liqueur, DeKuyper Curacao",5,Liquor,false,false,liter,02/18/2026 00:00:00,11.55,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Liquor, Rum Barcelo Imperial 750ml",4,Liquor,false,false,liter,02/18/2026 00:00:00,208.8,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Liqueur, St Germain Elderflower (1 Liter)",3,Liquor,false,true,liter,02/18/2026 00:00:00,294,Lincoln House Vendor,IT - 1014 Lincoln Rd
"NA Bev, Liquor Strawberry Mix Daquari",2,NA Beverage - Other,false,false,lb,02/18/2026 00:00:00,2.53,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Whiskey, The Glenlivet",4,Liquor,false,false,liter,02/18/2026 00:00:00,760,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Whiskey, Jameson",4,Liquor,false,false,liter,02/18/2026 00:00:00,523.92,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Dry Goods, Chocosmart Dark",1,Dry Goods,true,false,lb,02/18/2026 00:00:00,5.4,Casella Specialties Inc.,IT - 390 Fifth Ave
"Whiskey, Chivas Regal",4,Liquor,false,false,liter,02/18/2026 00:00:00,46.77,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Vodka, Titos",3,Liquor,false,false,liter,02/18/2026 00:00:00,340.56,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Baked Goods, Hazelnut Chocolate Muffin",2,Dry Goods,false,true,each,02/18/2026 00:00:00,52.5,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Vodka, Ketel One",4,Liquor,false,false,liter,02/18/2026 00:00:00,435,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Rum, Barcelo Blanco",4,Liquor,false,false,liter,02/18/2026 00:00:00,132,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Gin, Malfy Blood Orange",4,Liquor,false,false,liter,02/18/2026 00:00:00,34.4,Lincoln House Vendor,IT - 1014 Lincoln Rd
"Produce, Black Olives",4,Produce,true,true,lb,02/18/2026 00:00:00,2.87,Lincoln House Vendor,IT - 1014 Lincoln Rd
"NA Bev, Strawberry Daiquiri Mix",2,Liquor,false,true,each,02/18/2026 00:00:00,3.16,Collins House Vendor,IT - 1656 Collins Ave
"Liqueur, Grappa",2,Liquor,false,false,liter,02/18/2026 00:00:00,52.27,Lincoln House Vendor,IT - 1014 Lincoln Rd
